"Product Name","Product Description","Product Price","Category","Product Brand","Retail Store"
"Google Pixel 8 Pro","High-end smartphone with advanced camera and Android 14.","$999.99","Electronics","Google","Walmart"
"Google Nest Hub Max","Smart display with 10-inch screen, ideal for home automation.","$229.99","Electronics","Google","Target"
"Google Pixelbook Go","Lightweight Chromebook with up to 12 hours of battery life.","$649.99","Electronics","Google","Kroger"
"Google Pixel Buds A-Series","Wireless earbuds with rich sound and clear call quality.","$99.99","Electronics","Google","Publix"
"Google Nest Mini 2nd Generation Smart Speaker","Smart speaker delivering rich sound and hands-free Google Assistant.","$47.99","Electronics","Google","Publix"
"Google Chromecast with Google TV","Stream your favorite content in up to 4K HDR with personalized recommendations.","$49.99","Electronics","Google","Publix"
"Google Nest Doorbell","Wire-free and Battery-powered smart video doorbell with HD video and intelligent alerts. Stream live video hands-free and see and speak with visitors at your door on compatible Google Nest. You can also use compatible Google Nest smart speakers and displays as a chime.","$174.99","Electronics","Google","Publix"
"Tide Original Laundry Detergent","High-efficiency laundry detergent for powerful cleaning.","$11.99","Household Essentials","Tide","Walmart"
"Bounty Select-A-Size Paper Towels","Super absorbent paper towels, select the size you need to reduce waste.","$9.99","Household Essentials","Bounty","Walmart"
"Clorox Disinfecting Wipes","Eliminates 99.9% of bacteria and viruses with easy-to-use pre-moistened wipes.","$6.49","Household Essentials","Clorox","Target"
"Dawn Ultra Dishwashing Liquid","Cuts through tough grease and grime on dishes, leaving them sparkling clean.","$3.99","Household Essentials","Dawn","Target"
"Glade Air Freshener Spray","Instantly freshens the air in your home with a variety of pleasant scents.","$0.99","Household Essentials","Glade","Kroger"
"Swiffer WetJet Starter Kit","All-in-one mopping system that traps dirt and grime which can be disposed of after use.","$22.99","Household Essentials","Swiffer","Kroger"
"Febreze Fabric Refresher","Odor-eliminating spray for fabrics that can't be washed, leaving a fresh scent.","$4.99","Household Essentials","Febreze","Publix"
